Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Stream Ptr,Device Type
APP,1773303881856922.320	,,170.546875,,,NPU:0
PTA,1773303881846218.280	,16.12939453125,98.0,16.12939453125,47,NPU:0
PTA+GE,1773303881846218.280	,16.12939453125,98.0,16.12939453125,47,NPU:0
PTA,1773303881846374.710	,16.1455078125,98.0,16.1455078125,47,NPU:0
PTA+GE,1773303881846374.710	,16.1455078125,98.0,16.1455078125,47,NPU:0
PTA,1773303881846396.000	,16.208984375,98.0,16.208984375,47,NPU:0
PTA+GE,1773303881846396.000	,16.208984375,98.0,16.208984375,47,NPU:0
PTA,1773303881846428.680	,16.1455078125,98.0,16.1455078125,47,NPU:0
PTA+GE,1773303881846428.680	,16.1455078125,98.0,16.1455078125,47,NPU:0
PTA,1773303881846430.650	,16.1455078125,98.0,16.1455078125,47,NPU:0
PTA+GE,1773303881846430.650	,16.1455078125,98.0,16.1455078125,47,NPU:0
PTA,1773303881846465.850	,16.17724609375,98.0,16.17724609375,47,NPU:0
PTA+GE,1773303881846465.850	,16.17724609375,98.0,16.17724609375,47,NPU:0
PTA,1773303881846482.200	,16.3037109375,98.0,16.3037109375,47,NPU:0
PTA+GE,1773303881846482.200	,16.3037109375,98.0,16.3037109375,47,NPU:0
PTA,1773303881846503.540	,16.17724609375,98.0,16.17724609375,47,NPU:0
PTA+GE,1773303881846503.540	,16.17724609375,98.0,16.17724609375,47,NPU:0
PTA,1773303881846505.460	,16.17724609375,98.0,16.17724609375,47,NPU:0
PTA+GE,1773303881846505.460	,16.17724609375,98.0,16.17724609375,47,NPU:0
PTA,1773303881846576.620	,20.177734375,98.0,20.177734375,47,NPU:0
PTA+GE,1773303881846576.620	,20.177734375,98.0,20.177734375,47,NPU:0
PTA,1773303881846652.580	,20.20947265625,98.0,20.20947265625,47,NPU:0
PTA+GE,1773303881846652.580	,20.20947265625,98.0,20.20947265625,47,NPU:0
PTA,1773303881846677.710	,20.3359375,98.0,20.3359375,47,NPU:0
PTA+GE,1773303881846677.710	,20.3359375,98.0,20.3359375,47,NPU:0
PTA,1773303881846699.250	,20.20947265625,98.0,20.20947265625,47,NPU:0
PTA+GE,1773303881846699.250	,20.20947265625,98.0,20.20947265625,47,NPU:0
PTA,1773303881846700.950	,20.20947265625,98.0,20.20947265625,47,NPU:0
PTA+GE,1773303881846700.950	,20.20947265625,98.0,20.20947265625,47,NPU:0
PTA,1773303881846732.970	,24.2099609375,98.0,24.2099609375,47,NPU:0
PTA+GE,1773303881846732.970	,24.2099609375,98.0,24.2099609375,47,NPU:0
PTA,1773303881846811.470	,28.21044921875,98.0,28.21044921875,47,NPU:0
PTA+GE,1773303881846811.470	,28.21044921875,98.0,28.21044921875,47,NPU:0
PTA,1773303881846881.860	,32.2109375,98.0,32.2109375,47,NPU:0
