Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::empty_strided,0.5,1773303881846218.280	,1773303881847937.630	,1773303881847936.130	,1719.350	,1717.850	,16.12939453125,98.0,16.12939453125,36.17919921875,98.0,36.17919921875,47,NPU:0
aten::gt,16.5,1773303881846374.710	,1773303881850538.400	,1773303881850536.920	,4163.690	,4162.210	,16.1455078125,98.0,16.1455078125,16.16064453125,98.0,16.16064453125,47,NPU:0
aten::gt,65.0,1773303881846396.000	,1773303881846430.650	,1773303881846428.680	,34.650	,32.680	,16.208984375,98.0,16.208984375,16.1455078125,98.0,16.1455078125,47,NPU:0
aten::where,32.5,1773303881846465.850	,1773303881847930.890	,1773303881847928.820	,1465.040	,1462.970	,16.17724609375,98.0,16.17724609375,36.1796875,98.0,36.1796875,47,NPU:0
aten::where,129.5,1773303881846482.200	,1773303881846505.460	,1773303881846503.540	,23.260	,21.340	,16.3037109375,98.0,16.3037109375,16.17724609375,98.0,16.17724609375,47,NPU:0
aten::sub,4096.5,1773303881846576.620	,1773303881849731.340	,1773303881849729.900	,3154.720	,3153.280	,20.177734375,98.0,20.177734375,20.24072265625,98.0,20.24072265625,47,NPU:0
aten::mul,32.5,1773303881846652.580	,1773303881849724.980	,1773303881849722.990	,3072.400	,3070.410	,20.20947265625,98.0,20.20947265625,24.2412109375,98.0,24.2412109375,47,NPU:0
aten::mul,129.5,1773303881846677.710	,1773303881846700.950	,1773303881846699.250	,23.240	,21.540	,20.3359375,98.0,20.3359375,20.20947265625,98.0,20.20947265625,47,NPU:0
aten::div,4096.5,1773303881846732.970	,1773303881847013.210	,1773303881847010.710	,280.240	,277.740	,24.2099609375,98.0,24.2099609375,28.21044921875,98.0,28.21044921875,47,NPU:0
aten::sub,4096.5,1773303881846811.470	,1773303881846927.660	,1773303881846925.300	,116.190	,113.830	,28.21044921875,98.0,28.21044921875,28.21044921875,98.0,28.21044921875,47,NPU:0
aten::relu,4096.5,1773303881846881.860	,1773303881849362.560	,1773303881849360.480	,2480.700	,2478.620	,32.2109375,98.0,32.2109375,24.2412109375,98.0,24.2412109375,47,NPU:0
aten::add,4096.5,1773303881846963.430	,1773303881847224.300	,1773303881847221.680	,260.870	,258.250	,32.2109375,98.0,32.2109375,32.2109375,98.0,32.2109375,47,NPU:0
aten::rsub,4096.5,1773303881847051.780	,1773303881847150.760	,1773303881847148.250	,98.980	,96.470	,32.2109375,98.0,32.2109375,32.2109375,98.0,32.2109375,47,NPU:0
aten::relu,4096.5,1773303881847109.570	,1773303881849139.120	,1773303881849137.520	,2029.550	,2027.950	,36.21142578125,98.0,36.21142578125,28.24169921875,98.0,28.24169921875,47,NPU:0
