Component,Timestamp(us),Total Allocated(MB),Total Reserved(MB),Total Active(MB),Stream Ptr,Device Type
APP,1773307480210487.740	,,310.546875,,,NPU:0
PTA,1773307480200586.280	,61.47265625,238.0,61.47265625,44,NPU:0
PTA+GE,1773307480200586.280	,61.47265625,238.0,61.47265625,44,NPU:0
PTA,1773307480200738.410	,61.53173828125,238.0,61.53173828125,44,NPU:0
PTA+GE,1773307480200738.410	,61.53173828125,238.0,61.53173828125,44,NPU:0
PTA,1773307480200757.770	,61.76708984375,238.0,61.76708984375,44,NPU:0
PTA+GE,1773307480200757.770	,61.76708984375,238.0,61.76708984375,44,NPU:0
PTA,1773307480200782.500	,61.53173828125,238.0,61.53173828125,44,NPU:0
PTA+GE,1773307480200782.500	,61.53173828125,238.0,61.53173828125,44,NPU:0
PTA,1773307480200784.270	,61.53173828125,238.0,61.53173828125,44,NPU:0
PTA+GE,1773307480200784.270	,61.53173828125,238.0,61.53173828125,44,NPU:0
PTA,1773307480200817.730	,61.6494140625,238.0,61.6494140625,44,NPU:0
PTA+GE,1773307480200817.730	,61.6494140625,238.0,61.6494140625,44,NPU:0
PTA,1773307480200832.760	,62.11962890625,238.0,62.11962890625,44,NPU:0
PTA+GE,1773307480200832.760	,62.11962890625,238.0,62.11962890625,44,NPU:0
PTA,1773307480200860.080	,61.6494140625,238.0,61.6494140625,44,NPU:0
PTA+GE,1773307480200860.080	,61.6494140625,238.0,61.6494140625,44,NPU:0
PTA,1773307480200862.360	,61.6494140625,238.0,61.6494140625,44,NPU:0
PTA+GE,1773307480200862.360	,61.6494140625,238.0,61.6494140625,44,NPU:0
PTA,1773307480200929.270	,77.6494140625,238.0,77.6494140625,44,NPU:0
PTA+GE,1773307480200929.270	,77.6494140625,238.0,77.6494140625,44,NPU:0
PTA,1773307480200998.240	,77.76708984375,238.0,77.76708984375,44,NPU:0
PTA+GE,1773307480200998.240	,77.76708984375,238.0,77.76708984375,44,NPU:0
PTA,1773307480201028.690	,78.2373046875,238.0,78.2373046875,44,NPU:0
PTA+GE,1773307480201028.690	,78.2373046875,238.0,78.2373046875,44,NPU:0
PTA,1773307480201051.600	,77.76708984375,238.0,77.76708984375,44,NPU:0
PTA+GE,1773307480201051.600	,77.76708984375,238.0,77.76708984375,44,NPU:0
PTA,1773307480201054.220	,77.76708984375,238.0,77.76708984375,44,NPU:0
PTA+GE,1773307480201054.220	,77.76708984375,238.0,77.76708984375,44,NPU:0
PTA,1773307480201084.820	,93.76708984375,238.0,93.76708984375,44,NPU:0
PTA+GE,1773307480201084.820	,93.76708984375,238.0,93.76708984375,44,NPU:0
PTA,1773307480201156.540	,108.767578125,238.0,108.767578125,44,NPU:0
PTA+GE,1773307480201156.540	,108.767578125,238.0,108.767578125,44,NPU:0
PTA,1773307480201220.500	,123.76806640625,238.0,123.76806640625,44,NPU:0
PTA+GE,1773307480201220.500	,123.76806640625,238.0,123.76806640625,44,NPU:0
PTA,1773307480201266.230	,108.767578125,238.0,108.767578125,44,NPU:0
PTA+GE,1773307480201266.230	,108.767578125,238.0,108.767578125,44,NPU:0
PTA,1773307480201268.540	,108.767578125,238.0,108.767578125,44,NPU:0
PTA+GE,1773307480201268.540	,108.767578125,238.0,108.767578125,44,NPU:0
PTA,1773307480201298.480	,123.76806640625,238.0,123.76806640625,44,NPU:0
PTA+GE,1773307480201298.480	,123.76806640625,238.0,123.76806640625,44,NPU:0
PTA,1773307480201348.950	,107.76806640625,238.0,107.76806640625,44,NPU:0
PTA+GE,1773307480201348.950	,107.76806640625,238.0,107.76806640625,44,NPU:0
PTA,1773307480201351.270	,107.76806640625,238.0,107.76806640625,44,NPU:0
PTA+GE,1773307480201351.270	,107.76806640625,238.0,107.76806640625,44,NPU:0
PTA,1773307480201383.440	,123.76806640625,238.0,123.76806640625,44,NPU:0
