Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty,";
;
;
;
;
",,20.54,20.54,0,0,0,0
aten::to,";
;
;
;
;
",,9.77,127.17,0,0,0,0
aten::_to_copy,";
;
;
;
;
;
",,12.47,117.4,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,22.93,29.19,0,0,0,0
empty_tensor,,,6.26,6.26,0,0,0,0
aten::copy_,";
;
",,75.74,75.74,0,0,0,0
aten::lift_fresh,,,3.03,3.03,0,0,0,0
aten::detach_,,,3.12,6.34,0,0,0,0
detach_,,,3.22,3.22,0,0,0,0
aten::to,";
;
;
;
",,4.12,4.12,0,0,0,0
aten::gt,"61440,1;
",,44.6,74.36,0,14.18,0,0
empty_tensor,,,15.05,15.05,0,0,0,0
aclnnGtTensor,,,14.71,14.71,14.18,14.18,0,0
aten::where,"61440,1;
61440,1;
",,41.66,70.87,0,19.04,0,0
empty_tensor,,,10.21,10.21,0,0,0,0
aclnnSWhere,,,19.0,19.0,19.04,19.04,0,0
aten::view,"2560,3072;
",,15.33,15.33,0,0,0,0
aten::sub,"61440,128;
61440,1;
",,23.46,48.51,0,46.9,0,0
empty_tensor,,,12.77,12.77,0,0,0,0
aclnnSub,,,12.28,12.28,46.9,46.9,0,0
aten::mul,"61440,1;
",,39.43,79.13,0,16.84,0,0
empty_tensor,,,11.92,11.92,0,0,0,0
aten::item,,,2.89,13.09,0,0,0,0
aten::_local_scalar_dense,,,10.2,10.2,0,0,0,0
aclnnMuls,,,14.69,14.69,16.84,16.84,0,0
aten::div,"61440,128;
61440,1",,23.43,44.99,0,48.4,0,0
empty_tensor,,,10.89,10.89,0,0,0,0
aclnnDiv,,,10.67,10.67,48.4,48.4,0,0
aten::sub,"61440,128;
;
",,32.61,60.86,0,21.6,0,0
empty_tensor,,,12.06,12.06,0,0,0,0
aten::item,,,2.75,4.53,0,0,0,0
aten::_local_scalar_dense,,,1.78,1.78,0,0,0,0
aclnnSubs,,,11.66,11.66,21.6,21.6,0,0
aten::relu,"61440,128",,22.26,48.47,0,13.46,0,0
empty_tensor,,,16.55,16.55,0,0,0,0
aclnnRelu,,,9.66,9.66,13.46,13.46,0,0
aten::add,"61440,128;
;
",,23.28,53.07,0,15.74,0,0
empty_tensor,,,10.16,10.16,0,0,0,0
aten::item,,,2.77,8.97,0,0,0,0
aten::_local_scalar_dense,,,6.2,6.2,0,0,0,0
aclnnAdds,,,10.66,10.66,15.74,15.74,0,0
aten::rsub,"61440,128;
;
",,21.05,42.3,0,14.56,0,0
empty_tensor,,,10.17,10.17,0,0,0,0
aclnnRsubs,,,11.08,11.08,14.56,14.56,0,0
aten::relu,"61440,128",,23.26,50.05,0,9.04,0,0
empty_tensor,,,16.38,16.38,0,0,0,0
aclnnRelu,,,10.41,10.41,9.04,9.04,0,0
aten::rsub,"61440,128;
;
",,20.0,40.66,0,13.06,0,0
empty_tensor,,,9.76,9.76,0,0,0,0
aclnnRsubs,,,10.9,10.9,13.06,13.06,0,0
aten::mul,"61440,128;
",,38.97,77.39,0,48.879999999999995,0,0
empty_tensor,,,10.49,10.49,0,0,0,0
aten::item,,,2.71,4.56,0,0,0,0
aten::_local_scalar_dense,,,1.85,1.85,0,0,0,0
aclnnMuls,,,23.37,23.37,48.879999999999995,48.879999999999995,0,0
aten::sub,"61440,128;
;
",,22.75,47.74,0,14.7,0,0
empty_tensor,,,9.24,9.24,0,0,0,0
aten::item,,,2.45,4.19,0,0,0,0
aten::_local_scalar_dense,,,1.74,1.74,0,0,0,0
aclnnSubs,,,11.56,11.56,14.7,14.7,0,0
aten::round,"61440,128",,18.98,39.19,0,14.54,0,0
empty_tensor,,,9.41,9.41,0,0,0,0
aclnnRound,,,10.8,10.8,14.54,14.54,0,0
aten::sub,"61440,128;
61440,128;
",,20.57,41.92,0,19.86,0,0
empty_tensor,,,10.92,10.92,0,0,0,0
aclnnSub,,,10.43,10.43,19.86,19.86,0,0
aten::detach,"61440,128",,3.27,8.68,0,0,0,0
detach,"61440,128",,5.41,5.41,0,0,0,0
aten::add,"61440,128;
61440,128;
",,20.13,41.56,0,20.64,0,0
empty_tensor,,,10.12,10.12,0,0,0,0
aclnnAdd,,,11.31,11.31,20.64,20.64,0,0
aten::add,"61440,128;
;
",,21.67,46.32,0,13.46,0,0
empty_tensor,,,9.02,9.02,0,0,0,0
aten::item,,,2.78,4.39,0,0,0,0
aten::_local_scalar_dense,,,1.61,1.61,0,0,0,0
aclnnAdds,,,11.24,11.24,13.46,13.46,0,0
aten::div,"61440,128;
",,23.98,50.86,0,24.84,0,0
empty_tensor,,,11.54,11.54,0,0,0,0
aten::item,,,2.52,3.9,0,0,0,0
aten::_local_scalar_dense,,,1.38,1.38,0,0,0,0
aclnnDivs,,,11.44,11.44,24.84,24.84,0,0
aten::mul,"61440,128;
61440,1",,25.74,49.94,0,44.02,0,0
empty_tensor,,,9.67,9.67,0,0,0,0
aclnnMul,,,14.53,14.53,44.02,44.02,0,0
aten::add,"61440,128;
61440,1;
",,21.08,42.89,0,44.84,0,0
empty_tensor,,,11.11,11.11,0,0,0,0
aclnnAdd,,,10.7,10.7,44.84,44.84,0,0
aten::view,"61440,128;
",,15.99,15.99,0,0,0,0
autograd::engine::evaluate_function: ViewBackward0,,,12.13,35.95,0,0,0,0
ViewBackward0,"2560,3072",,7.08,23.82,0,0,0,0
aten::reshape,"2560,3072;
",,6.06,16.74,0,0,0,0
aten::view,"2560,3072;
",,10.68,10.68,0,0,0,0
autograd::engine::evaluate_function: AddBackward0,,,14.68,89.59,0,30.96,0,0
AddBackward0,"61440,128",,3.12,3.12,0,0,0,0
aten::sum,"61440,128;
;
;
",,35.99,71.79,0,30.96,0,0
empty_tensor,,,17.78,17.78,0,0,0,0
aclnnReduceSum,,,18.02,18.02,30.96,30.96,0,0
autograd::engine::evaluate_function: MulBackward0,,,30.95,188.79,0,89.84,0,0
MulBackward0,"61440,128",,9.04,86.92,0,72.44,0,0
aten::mul,"61440,128;
61440,128",,18.66,43.23,0,27.24,0,0
empty_tensor,,,11.79,11.79,0,0,0,0
aclnnMul,,,12.78,12.78,27.24,27.24,0,0
aten::mul,"61440,128;
61440,1",,14.41,34.65,0,45.2,0,0
empty_tensor,,,10.72,10.72,0,0,0,0
aclnnMul,,,9.52,9.52,45.2,45.2,0,0
aten::sum,"61440,128;
;
;
",,29.01,70.92,0,17.4,0,0
empty_tensor,,,31.77,31.77,0,0,0,0
aclnnReduceSum,,,10.14,10.14,17.4,17.4,0,0
autograd::engine::evaluate_function: DivBackward0,,,21.36,92.72,0,18.52,0,0
DivBackward0,"61440,128",,6.52,71.36,0,18.52,0,0
aten::div,"61440,128;
",,18.62,64.84,0,18.52,0,0
empty_tensor,,,9.72,9.72,0,0,0,0
aten::item,,,2.8,4.66,0,0,0,0
aten::_local_scalar_dense,,,1.86,1.86,0,0,0,0
aclnnDivs,,,31.84,31.84,18.52,18.52,0,0
autograd::engine::evaluate_function: AddBackward0,,,7.31,9.82,0,0,0,0
AddBackward0,"61440,128",,2.51,2.51,0,0,0,0
autograd::engine::evaluate_function: AddBackward0,,,5.45,7.68,0,0,0,0
AddBackward0,"61440,128",,2.23,2.23,0,0,0,0
autograd::engine::evaluate_function: SubBackward0,,,5.1,6.71,0,0,0,0
SubBackward0,"61440,128",,1.61,1.61,0,0,0,0
autograd::engine::evaluate_function: MulBackward0,,,15.66,111.98,0,53.7,0,0
MulBackward0,"61440,128",,18.99,96.32,0,53.7,0,0
aten::mul,"61440,128;
",,32.14,77.33,0,53.7,0,0
empty_tensor,,,12.47,12.47,0,0,0,0
aten::item,,,2.53,4.34,0,0,0,0
aten::_local_scalar_dense,,,1.81,1.81,0,0,0,0
aclnnMuls,,,28.38,28.38,53.7,53.7,0,0
autograd::engine::evaluate_function: RsubBackward1,,,30.09,86.51,0,14.66,0,0
RsubBackward1,"61440,128",,5.78,56.42,0,14.66,0,0
aten::neg,"61440,128",,15.92,50.64,0,14.66,0,0
empty_tensor,,,11.6,11.6,0,0,0,0
aclnnNeg,,,23.12,23.12,14.66,14.66,0,0
autograd::engine::evaluate_function: ReluBackward0,,,21.69,90.04,0,32.44,0,0
ReluBackward0,"61440,128",,8.45,68.35,0,32.44,0,0
aten::threshold_backward,"61440,128;
61440,128;
",,33.13,59.9,0,32.44,0,0
empty_tensor,,,11.88,11.88,0,0,0,0
aclnnThresholdBackward,,,14.89,14.89,32.44,32.44,0,0
autograd::engine::evaluate_function: RsubBackward1,,,16.08,72.68,0,9.6,0,0
RsubBackward1,"61440,128",,4.63,56.6,0,9.6,0,0
aten::neg,"61440,128",,14.18,51.97,0,9.6,0,0
empty_tensor,,,23.27,23.27,0,0,0,0
aclnnNeg,,,14.52,14.52,9.6,9.6,0,0
autograd::engine::evaluate_function: AddBackward0,,,5.86,7.92,0,0,0,0
AddBackward0,"61440,128",,2.06,2.06,0,0,0,0
autograd::engine::evaluate_function: ReluBackward0,,,20.08,83.55,0,29.6,0,0
ReluBackward0,"61440,128",,7.3,63.47,0,29.6,0,0
aten::threshold_backward,"61440,128;
61440,128;
",,19.05,56.17,0,29.6,0,0
empty_tensor,,,22.55,22.55,0,0,0,0
aclnnThresholdBackward,,,14.57,14.57,29.6,29.6,0,0
autograd::engine::evaluate_function: SubBackward0,,,6.32,8.43,0,0,0,0
SubBackward0,"61440,128",,2.11,2.11,0,0,0,0
autograd::engine::evaluate_function: DivBackward0,,,75.79,401.96,0,191.98000000000002,0,0
DivBackward0,"61440,128",,31.57,231.78,0,160.9,0,0
aten::neg,"61440,128",,14.07,47.88,0,9.64,0,0
empty_tensor,,,22.86,22.86,0,0,0,0
aclnnNeg,,,10.95,10.95,9.64,9.64,0,0
aten::div,"61440,128;
61440,1",,16.73,30.05,0,52.32,0,0
empty_tensor,,,10.66,10.66,0,0,0,0
aclnnDiv,,,2.66,2.66,52.32,52.32,0,0
aten::div,"61440,128;
61440,1",,11.58,42.78,0,35.0,0,0
empty_tensor,,,8.54,8.54,0,0,0,0
aclnnDiv,,,22.66,22.66,35.0,35.0,0,0
aten::mul,"61440,128;
61440,128",,14.79,38.57,0,28.64,0,0
empty_tensor,,,9.85,9.85,0,0,0,0
aclnnMul,,,13.93,13.93,28.64,28.64,0,0
aten::div,"61440,128;
61440,1",,14.01,40.93,0,35.3,0,0
empty_tensor,,,17.62,17.62,0,0,0,0
aclnnDiv,,,9.3,9.3,35.3,35.3,0,0
aten::sum,"61440,128;
;
;
",,28.07,47.97,0,23.34,0,0
empty_tensor,,,10.36,10.36,0,0,0,0
aclnnReduceSum,,,9.54,9.54,23.34,23.34,0,0
aten::add_,"61440,1;
61440,1;
",,17.1,46.42,0,7.74,0,0
aclnnInplaceAdd,,,29.32,29.32,7.74,7.74,0,0
