Name,Size(KB),Allocation Time(us),Release Time(us),Active Release Time(us),Duration(us),Active Duration(us),Allocation Total Allocated(MB),Allocation Total Reserved(MB),Allocation Total Active(MB),Release Total Allocated(MB),Release Total Reserved(MB),Release Total Active(MB),Stream Ptr,Device Type
aten::empty_strided,0.5,1773307480200586.280	,1773307480202271.840	,1773307480202270.310	,1685.560	,1684.030	,61.47265625,238.0,61.47265625,138.650390625,238.0,138.650390625,44,NPU:0
aten::gt,60.5,1773307480200738.410	,1773307480204765.400	,1773307480204763.830	,4026.990	,4025.420	,61.53173828125,238.0,61.53173828125,61.58984375,238.0,61.58984375,44,NPU:0
aten::gt,241.0,1773307480200757.770	,1773307480200784.270	,1773307480200782.500	,26.500	,24.730	,61.76708984375,238.0,61.76708984375,61.53173828125,238.0,61.53173828125,44,NPU:0
aten::where,120.5,1773307480200817.730	,1773307480202265.410	,1773307480202263.280	,1447.680	,1445.550	,61.6494140625,238.0,61.6494140625,138.65087890625,238.0,138.65087890625,44,NPU:0
aten::where,481.5,1773307480200832.760	,1773307480200862.360	,1773307480200860.080	,29.600	,27.320	,62.11962890625,238.0,62.11962890625,61.6494140625,238.0,61.6494140625,44,NPU:0
aten::sub,16384.0,1773307480200929.270	,1773307480203929.730	,1773307480203928.290	,3000.460	,2999.020	,77.6494140625,238.0,77.6494140625,76.884765625,238.0,76.884765625,44,NPU:0
aten::mul,120.5,1773307480200998.240	,1773307480203923.530	,1773307480203921.900	,2925.290	,2923.660	,77.76708984375,238.0,77.76708984375,92.884765625,238.0,92.884765625,44,NPU:0
aten::mul,481.5,1773307480201028.690	,1773307480201054.220	,1773307480201051.600	,25.530	,22.910	,78.2373046875,238.0,78.2373046875,77.76708984375,238.0,77.76708984375,44,NPU:0
aten::div,16384.0,1773307480201084.820	,1773307480201351.270	,1773307480201348.950	,266.450	,264.130	,93.76708984375,238.0,93.76708984375,107.76806640625,238.0,107.76806640625,44,NPU:0
aten::sub,15360.5,1773307480201156.540	,1773307480201268.540	,1773307480201266.230	,112.000	,109.690	,108.767578125,238.0,108.767578125,108.767578125,238.0,108.767578125,44,NPU:0
aten::relu,15360.5,1773307480201220.500	,1773307480203568.690	,1773307480203567.120	,2348.190	,2346.620	,123.76806640625,238.0,123.76806640625,93.88427734375,238.0,93.88427734375,44,NPU:0
aten::add,15360.5,1773307480201298.480	,1773307480201552.300	,1773307480201549.850	,253.820	,251.370	,123.76806640625,238.0,123.76806640625,123.76806640625,238.0,123.76806640625,44,NPU:0
aten::rsub,16384.0,1773307480201383.440	,1773307480201483.380	,1773307480201481.170	,99.940	,97.730	,123.76806640625,238.0,123.76806640625,122.7685546875,238.0,122.7685546875,44,NPU:0
aten::relu,15360.5,1773307480201439.690	,1773307480203368.640	,1773307480203367.160	,1928.950	,1927.470	,138.7685546875,238.0,138.7685546875,108.884765625,238.0,108.884765625,44,NPU:0
aten::rsub,16384.0,1773307480201510.810	,1773307480201660.620	,1773307480201658.910	,149.810	,148.100	,138.7685546875,238.0,138.7685546875,122.7685546875,238.0,122.7685546875,44,NPU:0
